Comb., Node, uX, uY, uZ, rotX, rotY , rotZ
LC1, 1042, 0, 0, 0, 0, 0, 0
LC1, 1043, 0, 0, 0, 0, 0, 0
LC1, 1044, 0, 0, 0, 0, 0, 0
LC1, 1045, 0, 0, 0, 0, 0, 0
LC1, 1046, 0, 0, 0, 0, 0, 0
LC1, 1047, 0, 0, 0, 0, 0, 0
LC1, 1048, 0, 0, 0, 0, 0, 0
LC1, 1049, 0, 0, 0, 0, 0, 0
LC1, 1050, 0, 0, 0, 0, 0, 0
LC1, 1051, 0, 0, 0, 0, 0, 0
LC1, 1052, 0, 0, 0, 0, 0, 0
LC1, 1053, 0, 0, 0, 0, 0, 0
LC1, 1056, 0, 0, 0, 0, 0, 0
LC1, 4305, 0, 0, 0, 0, 0, 0
